sl_no,project_id,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,target_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,cost_growth_pct,expenditure_ratio_pct,cost_overrun_cr,schedule_extension_months,is_cost_escalated,is_schedule_extended,provenance
998,PAI-619305,619305,,12095,4L of Munger Mirzachauki section from start of existing Bhagalpur bypass to Rasulpur from Km 125000 to Km 157350 Pkg-3,NHAI,Ministry of Road Transport & Highways,Roads & Highways,Bihar,01/2021,04/2022,04/2024,06/2026,1769.5,2024.59,574.08,75.04,14.42,28.36,255.09,26.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
999,PAI-619306,619306,,12096,4L of Munger Mirzachauki section from Km 95580 to Km 125000 Pkg-2,NHAI,Ministry of Road Transport & Highways,Roads & Highways,Bihar,02/2021,03/2022,03/2024,06/2026,1020.84,1235.65,478.11,93.13,21.04,38.69,214.81,27.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1000,PAI-619317,619317,,,4L of Hajipur-Muzaffarpur Section of the existing NH-77 from Km. 0000 Ramashish Chowk to Km. 46300 and new bypass starting at Km. 46300 and connecting NH-28 of E-W Corridor at Km. 515045,NHAI,Ministry of Road Transport & Highways,Roads & Highways,Bihar,,08/2010,02/2013,05/2026,2723.39,2906.78,26.74,99.45,6.73,0.92,183.39,159.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1001,PAI-619320,619320,,,Muzaffarpur - Sonbarsa Section of NH-77 from km 2.800 to km 89.000,NHAI,Ministry of Road Transport & Highways,Roads & Highways,Bihar,,05/2011,11/2013,06/2026,2290.72,2311.1,468.71,100.0,0.89,20.28,20.38,151.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1002,PAI-617908,617908,,,Bemetara Bypass NH 30,,Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,01/2024,04/2025,04/2027,04/2027,161.96,161.96,0.0,32.0,0.0,0.0,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1003,PAI-617919,617919,N24001227,,Construction of 4 Nos Grade separtor between km. 281.000 to km. 307.600 km. 286.400 kumhari km. 299.000 Transport Nagar km. 302.000 Power House km. 304.000 Chandra Moura Chowk to km. 305.000 supeia of NH-53 old NH-06 Raipur - Durg 4 Lane on EPC mode in the state of chhattisgarh job NO. NH-53old NH-06 CG- 2017-18-56,,Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,03/2018,01/2019,01/2021,08/2025,349.03,349.03,0.0,97.9,0.0,0.0,0.0,55.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1004,PAI-617971,617971,,,Up-gradation to Two/Four lane with paved shoulder Configuration of Kondagaon- Narayanpur from design ch. 0.00 - 48.693 Design Length 47.493 Km. 1.20 Km. retained on NH-130D under EPC mode in the State Chhattisgarh.,,Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,12/2022,03/2025,03/2027,03/2027,322.4,322.4,1.1,62.0,0.0,0.34,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1005,PAI-617972,617972,,,Upgradation to Two lane with Paved Shoulder Configuration of Narayanpur Kasturmeta pkg-II from design ch. 48.693 to 70.453 design length21.760 Km. on NH-130D under EPC mode in the state of Chhattisgarh.,,Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,12/2022,12/2024,06/2026,,200.67,200.67,14.99,0.0,0.0,7.47,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1006,PAI-617973,617973,N24001228,,Strengthening and widening of existing 2 lane road to two lane paved shoulder from km 7.750 to 26.542 & km. 32.093 to 45.786 of NH-130 on EPC mode in the state of chhattisgarh.job No. 130-CG-2017-18-348,,Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,11/2017,05/2019,11/2020,02/2026,188.8,188.8,102.56,97.0,0.0,54.32,0.0,63.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
1007,PAI-618014,618014,,,"Upgradation of Ambikapur-Ramanujganj-Garwa road of NH-343, Package-III, Badki mahri village to Ramanujganj section from existing km 80.600 to km 110.330 Design Ch. 85.370 to Ch. 114.800 of total length 29.430 km to two lane with paved shoulders udner corridor scheme under EPC Mode in the of Chhattisgarh",,Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,03/2022,05/2025,10/2026,10/2026,199.05,199.05,28.95,31.0,0.0,14.54,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:28.017719'}"
